timestamp,machine_id,temperature,humidity,vibration,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,hour,day_of_week,month,shift,machine_type,machine_age,operator_id,material_type,cycle_time,days_since_last_maintenance
2024-12-06 23:25:53.832991,6,26.066499484587315,56.68198967756197,0.15376095710255155,48.095210532413354,23.585092904750514,-54.456904117963255,5.324616565734805,-3.9871367997424993,-14.393769665759894,23,4,12,Evening,TypeB,4,OP_1,Plastic,86.73766201375857,27
2024-12-07 04:01:44.124900,3,18.96450527287724,40.973255702590976,0.10809132502701659,32.66674512748681,-25.044579654086107,-36.17843182355731,7.494565594668168,-5.000451214620475,1.3489373136148521,4,5,12,Night,TypeB,13,OP_1,Aluminum,107.80439476576612,8
2024-12-07 01:53:47.790025,5,7.7808420913416825,47.757821371323324,0.12498010366257487,-37.35434294875833,22.05668979774413,67.88279861000609,-7.0796185725124,-1.0831456507588355,5.2371222096326955,1,5,12,Night,TypeB,14,OP_3,Composite,108.8722028825813,17
2024-12-07 01:15:45.537933,2,24.66092215193991,55.590446705079685,0.11117075438535838,3.9817947810716072,-28.433014667893076,-65.49131239141646,-3.813701086375802,-5.1989191066954055,-8.720720905335352,1,5,12,Night,TypeB,7,OP_5,Aluminum,117.61486060749192,21
2024-12-07 02:08:08.118166,7,10.68101739980014,47.675291531193075,0.08351735615396925,13.886177505675375,25.004624348971582,52.92448302732829,1.1209858060555176,-8.317563192391527,-10.492322273555557,2,5,12,Night,TypeA,2,OP_1,Aluminum,136.28360151868532,20
2024-12-06 23:22:40.054846,6,24.195243870532575,64.31744199121822,0.11440696623017935,-24.968925458593137,-59.22301390720288,60.14172690491605,-6.98559291161696,-3.9193813535562554,0.990424869144817,23,4,12,Evening,TypeB,4,OP_5,Steel,125.19036465381403,0
2024-12-07 01:39:04.284739,8,10.492303107454516,50.45879387624705,0.11247960489582697,27.779952986129775,41.92765340447689,7.616603718964621,-3.2779836017510777,5.6946164144731695,0.7719937986314225,1,5,12,Night,TypeB,7,OP_2,Composite,137.80609197362497,20
2024-12-06 23:16:37.755460,1,26.152178730599875,38.02933245848953,0.16725149333545994,-46.98860750650913,-79.63004307818515,0.10180640499618512,8.168459877354188,8.978637998664453,-2.5778923571665837,23,4,12,Evening,TypeA,10,OP_4,Copper,69.17537838215209,10
2024-12-06 22:45:41.625412,5,17.859727736868262,67.49773282762852,0.10543575303354086,-18.12002967948091,-23.58359538482109,-18.094207987253526,3.9866339857316087,3.68697361850289,2.4048805834333677,22,4,12,Evening,TypeB,14,OP_4,Plastic,124.92731648367509,0
2024-12-06 23:00:45.091251,6,17.587930271152988,48.16216151447279,0.13704895491658706,-80.14433007572357,-19.96007602531916,12.066835055859974,11.730414356604674,1.5167481029703878,-1.5203844277784564,23,4,12,Evening,TypeB,4,OP_4,Copper,169.88862915786132,22
